season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2025,300,Toledo,MAC,111.4,117.4,-6.0,"{'offense': 96, 'defense': 344, 'net': 238}"
2025,91,Fordham,A-10,106.0,112.1,-6.0,"{'offense': 205, 'defense': 268, 'net': 238}"
2025,264,Siena,MAAC,104.1,110.3,-6.2,"{'offense': 233, 'defense': 238, 'net': 240}"
2025,337,Vermont,Am. East,99.5,105.8,-6.3,"{'offense': 316, 'defense': 137, 'net': 241}"
2025,183,Mount St. Mary's,MAAC,101.3,107.6,-6.3,"{'offense': 289, 'defense': 181, 'net': 241}"
2025,324,UT Arlington,WAC,108.2,114.6,-6.4,"{'offense': 158, 'defense': 319, 'net': 243}"
2025,1,Abilene Christian,WAC,98.3,104.8,-6.4,"{'offense': 327, 'defense': 114, 'net': 243}"
2025,100,Georgia State,Sun Belt,108.3,114.6,-6.4,"{'offense': 154, 'defense': 319, 'net': 243}"
2025,269,South Dakota,Summit,109.2,115.8,-6.5,"{'offense': 138, 'defense': 332, 'net': 246}"
2025,8,American University,Patriot,103.5,110.1,-6.6,"{'offense': 243, 'defense': 230, 'net': 247}"
2025,36,Cal State Bakersfield,Big West,107.0,113.9,-6.8,"{'offense': 190, 'defense': 304, 'net': 248}"
2025,176,Missouri State,MVC,101.9,108.7,-6.8,"{'offense': 272, 'defense': 199, 'net': 248}"
2025,123,Iona,MAAC,99.7,106.5,-6.8,"{'offense': 314, 'defense': 153, 'net': 248}"
2025,228,Pepperdine,WCC,107.1,114.0,-7.0,"{'offense': 187, 'defense': 306, 'net': 251}"
2025,206,Northern Arizona,Big Sky,105.2,112.2,-7.0,"{'offense': 218, 'defense': 271, 'net': 251}"
2025,250,Sacred Heart,MAAC,105.1,112.2,-7.1,"{'offense': 220, 'defense': 271, 'net': 253}"
2025,156,Marist,MAAC,99.2,106.6,-7.4,"{'offense': 319, 'defense': 156, 'net': 254}"
2025,307,UC Davis,Big West,97.4,104.8,-7.4,"{'offense': 337, 'defense': 114, 'net': 254}"
2025,89,Florida International,CUSA,99.2,106.6,-7.4,"{'offense': 319, 'defense': 156, 'net': 254}"
2025,242,Richmond,A-10,103.2,110.7,-7.5,"{'offense': 250, 'defense': 246, 'net': 257}"
2025,99,Georgia Southern,Sun Belt,102.3,109.9,-7.6,"{'offense': 264, 'defense': 226, 'net': 258}"
2025,82,Evansville,MVC,98.3,106.1,-7.8,"{'offense': 327, 'defense': 140, 'net': 259}"
2025,306,UAlbany,Am. East,104.9,112.9,-7.9,"{'offense': 223, 'defense': 287, 'net': 260}"
2025,48,Charlotte,American,104.7,112.7,-8.0,"{'offense': 227, 'defense': 284, 'net': 261}"
2025,126,Jackson State,SWAC,100.8,108.7,-8.0,"{'offense': 295, 'defense': 199, 'net': 261}"
2025,282,Stephen F. Austin,Southland,96.4,104.5,-8.1,"{'offense': 345, 'defense': 109, 'net': 263}"
2025,164,Mercer,SoCon,100.8,108.9,-8.1,"{'offense': 295, 'defense': 204, 'net': 263}"
2025,107,Harvard,Ivy,101.2,109.3,-8.2,"{'offense': 292, 'defense': 216, 'net': 265}"
2025,19,Ball State,MAC,105.4,113.7,-8.3,"{'offense': 214, 'defense': 299, 'net': 266}"
2025,6,Alabama State,SWAC,102.3,110.7,-8.4,"{'offense': 264, 'defense': 246, 'net': 267}"
2025,187,Navy,Patriot,102.9,111.3,-8.4,"{'offense': 257, 'defense': 257, 'net': 267}"
2025,58,Columbia,Ivy,106.4,114.9,-8.5,"{'offense': 200, 'defense': 322, 'net': 269}"
2025,201,North Dakota,Summit,108.0,116.5,-8.5,"{'offense': 164, 'defense': 335, 'net': 269}"
2025,178,Monmouth,CAA,105.1,113.7,-8.6,"{'offense': 220, 'defense': 299, 'net': 271}"
2025,94,Gardner-Webb,Big South,103.9,112.5,-8.6,"{'offense': 236, 'defense': 280, 'net': 271}"
2025,146,Long Island University,NEC,96.6,105.6,-9.0,"{'offense': 342, 'defense': 132, 'net': 273}"
2025,141,Lehigh,Patriot,102.2,111.5,-9.2,"{'offense': 267, 'defense': 263, 'net': 274}"
2025,79,Eastern Michigan,MAC,104.6,114.0,-9.4,"{'offense': 228, 'defense': 306, 'net': 275}"
2025,203,North Florida,ASUN,108.9,118.3,-9.4,"{'offense': 145, 'defense': 352, 'net': 275}"
2025,304,Tulsa,American,101.9,111.4,-9.5,"{'offense': 272, 'defense': 259, 'net': 277}"
2025,92,Fresno State,Mountain West,101.4,111.0,-9.6,"{'offense': 285, 'defense': 251, 'net': 278}"
2025,254,Saint Peter's,MAAC,97.1,106.6,-9.6,"{'offense': 339, 'defense': 156, 'net': 278}"
2025,138,Lafayette,Patriot,100.5,110.1,-9.6,"{'offense': 303, 'defense': 230, 'net': 278}"
2025,84,Fairleigh Dickinson,NEC,100.6,110.2,-9.7,"{'offense': 300, 'defense': 234, 'net': 281}"
2025,230,Portland,WCC,107.2,117.0,-9.7,"{'offense': 185, 'defense': 341, 'net': 281}"
2025,112,Houston Christian,Southland,100.9,110.6,-9.7,"{'offense': 293, 'defense': 244, 'net': 281}"
2025,296,Texas Southern,SWAC,96.9,106.9,-9.9,"{'offense': 341, 'defense': 165, 'net': 284}"
2025,28,Bowling Green,MAC,100.2,110.1,-9.9,"{'offense': 307, 'defense': 230, 'net': 284}"
2025,117,Idaho,Big Sky,108.1,118.0,-9.9,"{'offense': 161, 'defense': 350, 'net': 284}"
2025,351,Western Michigan,MAC,103.0,113.1,-10.1,"{'offense': 255, 'defense': 290, 'net': 287}"
2025,278,St. Francis (PA),NEC,101.8,112.3,-10.5,"{'offense': 276, 'defense': 275, 'net': 288}"
2025,80,Eastern Washington,Big Sky,103.5,114.1,-10.6,"{'offense': 243, 'defense': 308, 'net': 289}"
2025,317,UMBC,Am. East,107.7,118.3,-10.6,"{'offense': 171, 'defense': 352, 'net': 289}"
2025,23,Bethune-Cookman,SWAC,98.0,109.0,-10.9,"{'offense': 332, 'defense': 207, 'net': 291}"
2025,17,Austin Peay,ASUN,101.5,112.4,-11.0,"{'offense': 282, 'defense': 277, 'net': 292}"
2025,325,UT Martin,OVC,102.7,113.7,-11.0,"{'offense': 261, 'defense': 299, 'net': 292}"
2025,291,Tennessee Tech,OVC,101.3,112.4,-11.1,"{'offense': 289, 'defense': 277, 'net': 294}"
2025,27,Boston University,Patriot,100.0,111.4,-11.4,"{'offense': 310, 'defense': 259, 'net': 295}"
2025,24,Binghamton,Am. East,100.3,111.8,-11.5,"{'offense': 305, 'defense': 265, 'net': 296}"
2025,275,Southern Miss,Sun Belt,97.7,109.2,-11.5,"{'offense': 336, 'defense': 213, 'net': 296}"
2025,225,Pacific,WCC,100.3,111.9,-11.6,"{'offense': 305, 'defense': 266, 'net': 298}"
2025,219,Old Dominion,Sun Belt,102.0,113.6,-11.6,"{'offense': 268, 'defense': 298, 'net': 298}"
2025,67,Delaware State,MEAC,103.0,114.5,-11.6,"{'offense': 255, 'defense': 315, 'net': 298}"
2025,115,IU Indianapolis,Horizon,110.7,122.4,-11.7,"{'offense': 103, 'defense': 361, 'net': 301}"
2025,345,Weber State,Big Sky,101.6,113.4,-11.7,"{'offense': 281, 'defense': 293, 'net': 301}"
2025,227,Pennsylvania,Ivy,103.1,114.9,-11.8,"{'offense': 253, 'defense': 322, 'net': 303}"
2025,15,Army,Patriot,101.4,113.5,-12.1,"{'offense': 285, 'defense': 295, 'net': 304}"
2025,68,Denver,Summit,100.6,112.6,-12.1,"{'offense': 300, 'defense': 281, 'net': 304}"
2025,334,VMI,SoCon,99.9,112.0,-12.1,"{'offense': 311, 'defense': 267, 'net': 304}"
2025,77,Eastern Illinois,OVC,95.4,107.6,-12.2,"{'offense': 350, 'defense': 181, 'net': 307}"
2025,330,Utah Tech,WAC,101.3,113.4,-12.2,"{'offense': 289, 'defense': 293, 'net': 307}"
2025,152,Loyola Maryland,Patriot,100.6,112.9,-12.3,"{'offense': 300, 'defense': 287, 'net': 309}"
2025,47,Charleston Southern,Big South,100.2,112.6,-12.4,"{'offense': 307, 'defense': 281, 'net': 310}"
2025,194,Niagara,MAAC,102.8,115.5,-12.7,"{'offense': 259, 'defense': 331, 'net': 311}"
2025,284,Stonehill,NEC,101.5,114.2,-12.7,"{'offense': 282, 'defense': 310, 'net': 311}"
2025,243,Rider,MAAC,101.8,114.5,-12.7,"{'offense': 276, 'defense': 315, 'net': 311}"
2025,111,Holy Cross,Patriot,102.4,115.3,-12.9,"{'offense': 263, 'defense': 329, 'net': 314}"
2025,103,Grambling,SWAC,97.3,110.2,-13.0,"{'offense': 338, 'defense': 234, 'net': 315}"
